crop,soil_type,season,ph_min,ph_max,nitrogen_req,phosphorus_req,potassium_req,rainfall_min_mm,rainfall_max_mm,temp_min_c,temp_max_c,irrigation_type,yield_ton_per_acre,cost_rs_per_acre,price_rs_per_ton,profit_rs_per_acre,risk_score,climate_score
Rice,Sandy,Kharif,5.2,7.6,179,31,95,516,748,10,21,Drip,4.19,15426.0,13201.0,39884.0,0.4,0.8
Rice,Sandy,Rabi,5.7,7.6,147,48,77,601,1085,22,32,Drip,5.07,15426.0,13201.0,51501.0,0.27,0.65
Rice,Sandy,Summer,6.0,7.0,63,68,32,483,1035,19,33,Rainfed,5.13,15426.0,13201.0,52293.0,0.37,0.94
Rice,Sandy,All,5.4,7.3,132,44,110,335,581,20,33,Sprinkler,5.61,15426.0,13201.0,58629.0,0.53,0.9
Rice,Loamy,Kharif,5.4,7.2,133,40,67,481,895,20,34,Rainfed,4.9,15426.0,13201.0,49257.0,0.19,0.86
Rice,Loamy,Rabi,5.2,7.1,96,61,127,693,1687,10,23,Rainfed,5.27,15426.0,13201.0,54141.0,0.3,0.62
Rice,Loamy,Summer,5.9,7.4,120,47,103,555,1160,20,37,Drip,4.26,15426.0,13201.0,40808.0,0.22,0.8
Rice,Loamy,All,5.3,7.4,142,66,48,370,1091,17,28,Rainfed,5.38,15426.0,13201.0,55593.0,0.18,0.66
Rice,Clay,Kharif,5.7,7.4,138,68,96,539,1280,14,32,Rainfed,5.04,15426.0,13201.0,51105.0,0.16,0.91
Rice,Clay,Rabi,5.8,7.7,127,34,57,522,883,17,27,Sprinkler,5.58,15426.0,13201.0,58233.0,0.48,0.78
Rice,Clay,Summer,5.1,7.4,169,45,39,491,1471,12,30,Rainfed,4.88,15426.0,13201.0,48993.0,0.34,0.64
Rice,Clay,All,5.4,8.0,118,50,27,423,1203,11,22,Flood,5.29,15426.0,13201.0,54405.0,0.59,0.79
Rice,Silty,Kharif,5.1,7.5,180,41,53,570,1391,16,29,Drip,5.1,15426.0,13201.0,51897.0,0.3,0.84
Rice,Silty,Rabi,5.4,7.8,155,35,51,415,680,15,25,Drip,4.86,15426.0,13201.0,48729.0,0.1,0.85
Rice,Silty,Summer,5.1,6.6,48,62,29,563,1006,14,31,Drip,4.77,15426.0,13201.0,47541.0,0.46,0.91
Rice,Silty,All,5.6,6.9,161,72,44,348,647,20,36,Sprinkler,4.55,15426.0,13201.0,44637.0,0.33,0.86
Rice,Peaty,Kharif,5.7,8.0,65,27,71,672,1219,22,33,Drip,4.12,15426.0,13201.0,38960.0,0.37,0.65
Rice,Peaty,Rabi,5.2,7.2,59,76,123,741,1504,11,21,Rainfed,5.58,15426.0,13201.0,58233.0,0.56,0.9
Rice,Peaty,Summer,5.2,7.2,94,71,135,330,698,16,26,Flood,4.26,15426.0,13201.0,40808.0,0.49,0.76
Rice,Peaty,All,5.4,7.9,164,39,44,451,873,10,28,Rainfed,5.16,15426.0,13201.0,52689.0,0.13,0.8
Wheat,Sandy,Kharif,6.0,6.6,87,28,96,334,1225,13,29,Rainfed,4.72,12251.0,52931.0,237582.0,0.38,0.8
Wheat,Sandy,Rabi,5.0,6.6,173,60,139,433,842,20,35,Drip,3.64,12251.0,52931.0,180417.0,0.17,0.83
Wheat,Sandy,Summer,5.5,7.9,58,21,78,618,1394,11,22,Drip,4.02,12251.0,52931.0,200530.0,0.17,0.72
Wheat,Sandy,All,5.1,6.9,112,40,76,726,1482,21,35,Rainfed,4.28,12251.0,52931.0,214292.0,0.38,0.93
Wheat,Loamy,Kharif,5.1,7.8,107,34,133,354,1314,18,30,Sprinkler,3.66,12251.0,52931.0,181475.0,0.21,0.72
Wheat,Loamy,Rabi,5.7,7.8,169,82,52,763,1015,11,27,Sprinkler,3.28,12251.0,52931.0,161362.0,0.27,0.65
Wheat,Loamy,Summer,6.0,6.7,153,90,110,518,1292,10,21,Rainfed,4.73,12251.0,52931.0,238111.0,0.45,0.65
Wheat,Loamy,All,5.0,7.1,77,75,36,321,836,15,25,Sprinkler,3.55,12251.0,52931.0,175653.0,0.22,0.64
Wheat,Clay,Kharif,5.8,7.8,144,39,138,776,1218,12,24,Flood,3.25,12251.0,52931.0,159774.0,0.47,0.72
Wheat,Clay,Rabi,5.9,7.7,103,54,40,703,1621,11,27,Rainfed,4.59,12251.0,52931.0,230701.0,0.21,0.89
Wheat,Clay,Summer,5.5,7.0,98,48,23,637,1034,16,31,Sprinkler,4.6,12251.0,52931.0,231230.0,0.58,0.7
Wheat,Clay,All,5.6,7.1,177,62,140,314,632,14,26,Sprinkler,3.27,12251.0,52931.0,160832.0,0.4,0.72
Wheat,Silty,Kharif,5.8,7.2,170,34,69,760,1550,13,27,Rainfed,4.35,12251.0,52931.0,217997.0,0.1,0.92
Wheat,Silty,Rabi,5.5,7.6,90,66,75,335,1215,15,30,Rainfed,4.37,12251.0,52931.0,219056.0,0.25,0.71
Wheat,Silty,Summer,5.4,7.1,115,90,36,398,1028,20,36,Drip,4.2,12251.0,52931.0,210058.0,0.25,0.79
Wheat,Silty,All,5.0,6.9,150,61,79,526,1178,20,33,Flood,4.49,12251.0,52931.0,225408.0,0.58,0.86
Wheat,Peaty,Kharif,5.7,6.9,125,31,124,787,1756,13,27,Drip,4.51,12251.0,52931.0,226466.0,0.17,0.62
Wheat,Peaty,Rabi,6.0,7.4,58,78,73,753,1597,19,32,Flood,4.01,12251.0,52931.0,200001.0,0.22,0.83
Wheat,Peaty,Summer,5.0,7.6,67,74,48,390,1302,18,35,Rainfed,4.11,12251.0,52931.0,205294.0,0.56,0.64
Wheat,Peaty,All,5.1,7.2,175,60,116,756,1409,19,37,Flood,4.55,12251.0,52931.0,228583.0,0.37,0.91
Maize,Sandy,Kharif,5.2,7.5,173,82,100,422,903,17,28,Sprinkler,4.66,14998.0,34784.0,147097.0,0.27,0.91
Maize,Sandy,Rabi,5.1,6.7,138,39,110,409,674,16,32,Sprinkler,5.31,14998.0,34784.0,169707.0,0.31,0.67
Maize,Sandy,Summer,5.4,7.9,45,68,81,303,863,14,30,Flood,5.3,14998.0,34784.0,169359.0,0.47,0.88
Maize,Sandy,All,5.9,7.2,109,75,82,314,912,15,31,Drip,5.93,14998.0,34784.0,191273.0,0.56,0.94
Maize,Loamy,Kharif,5.5,7.9,46,30,102,519,857,17,29,Rainfed,4.72,14998.0,34784.0,149184.0,0.26,0.76
Maize,Loamy,Rabi,5.3,7.8,111,73,52,727,1010,17,27,Rainfed,6.26,14998.0,34784.0,202752.0,0.27,0.83
Maize,Loamy,Summer,5.8,7.5,47,51,45,729,949,19,31,Drip,4.44,14998.0,34784.0,139444.0,0.43,0.8
Maize,Loamy,All,5.2,7.5,134,41,97,610,1575,21,32,Drip,6.19,14998.0,34784.0,200317.0,0.15,0.61
Maize,Clay,Kharif,5.3,7.5,136,70,140,666,1069,11,24,Rainfed,5.63,14998.0,34784.0,180838.0,0.25,0.84
Maize,Clay,Rabi,5.8,7.7,50,64,88,519,1396,15,26,Sprinkler,4.2,14998.0,34784.0,131096.0,0.31,0.77
Maize,Clay,Summer,5.4,7.0,157,39,75,390,1341,18,32,Flood,5.14,14998.0,34784.0,163794.0,0.51,0.81
Maize,Clay,All,5.3,6.9,62,55,132,530,979,22,39,Flood,4.88,14998.0,34784.0,154750.0,0.35,0.71
Maize,Silty,Kharif,5.5,7.0,106,63,55,750,1560,21,35,Rainfed,5.25,14998.0,34784.0,167620.0,0.2,0.68
Maize,Silty,Rabi,5.4,7.3,101,80,102,664,1366,17,27,Rainfed,4.79,14998.0,34784.0,151619.0,0.3,0.69
Maize,Silty,Summer,5.7,7.1,175,64,74,681,1444,15,30,Flood,4.74,14998.0,34784.0,149880.0,0.23,0.64
Maize,Silty,All,5.2,6.7,177,43,44,410,1366,17,31,Sprinkler,6.22,14998.0,34784.0,201361.0,0.52,0.7
Maize,Peaty,Kharif,5.4,7.0,176,36,55,323,578,18,32,Drip,5.51,14998.0,34784.0,176664.0,0.48,0.64
Maize,Peaty,Rabi,5.0,6.9,162,76,63,394,646,14,31,Rainfed,5.89,14998.0,34784.0,189882.0,0.3,0.63
Maize,Peaty,Summer,5.6,6.6,78,58,30,427,748,18,34,Drip,5.79,14998.0,34784.0,186403.0,0.29,0.92
Maize,Peaty,All,5.3,7.4,149,59,92,617,878,19,30,Drip,5.48,14998.0,34784.0,175620.0,0.23,0.63
Barley,Sandy,Kharif,5.4,7.5,160,57,24,418,913,21,35,Flood,2.24,12226.0,38496.0,74004.0,0.22,0.69
Barley,Sandy,Rabi,5.8,7.4,90,74,34,578,1008,20,32,Sprinkler,3.05,12226.0,38496.0,105185.0,0.14,0.66
Barley,Sandy,Summer,5.3,7.6,113,76,35,539,1444,14,30,Sprinkler,2.7,12226.0,38496.0,91712.0,0.35,0.63
Barley,Sandy,All,5.0,7.1,122,52,23,346,780,20,30,Sprinkler,2.78,12226.0,38496.0,94791.0,0.48,0.66
Barley,Loamy,Kharif,5.5,7.2,111,43,94,523,1373,17,28,Flood,2.54,12226.0,38496.0,85553.0,0.27,0.83
Barley,Loamy,Rabi,5.9,7.0,166,56,104,783,1393,22,40,Rainfed,2.65,12226.0,38496.0,89787.0,0.26,0.71
Barley,Loamy,Summer,6.0,7.1,171,20,104,745,1500,17,33,Rainfed,2.36,12226.0,38496.0,78623.0,0.28,0.86
Barley,Loamy,All,5.6,7.6,92,54,90,367,861,17,34,Rainfed,2.19,12226.0,38496.0,72079.0,0.42,0.88
Barley,Clay,Kharif,5.7,7.0,43,90,72,347,777,11,28,Rainfed,2.86,12226.0,38496.0,97871.0,0.18,0.93
Barley,Clay,Rabi,5.3,7.6,146,81,80,424,1091,18,30,Flood,2.37,12226.0,38496.0,79008.0,0.4,0.86
Barley,Clay,Summer,5.1,6.6,146,63,139,703,1422,14,24,Sprinkler,2.94,12226.0,38496.0,100951.0,0.52,0.8
Barley,Clay,All,5.7,7.8,154,88,81,476,1016,18,36,Flood,2.65,12226.0,38496.0,89787.0,0.26,0.67
Barley,Silty,Kharif,5.7,7.4,99,72,25,462,1424,17,33,Flood,3.23,12226.0,38496.0,112114.0,0.5,0.83
Barley,Silty,Rabi,5.2,7.9,72,84,95,469,771,17,28,Flood,2.18,12226.0,38496.0,71694.0,0.17,0.9
Barley,Silty,Summer,6.0,6.6,107,63,99,654,1261,20,31,Sprinkler,3.08,12226.0,38496.0,106340.0,0.53,0.73
Barley,Silty,All,5.3,7.6,164,89,24,616,886,13,27,Drip,2.97,12226.0,38496.0,102106.0,0.32,0.63
Barley,Peaty,Kharif,5.6,7.8,153,41,108,453,682,10,25,Rainfed,2.48,12226.0,38496.0,83243.0,0.29,0.65
Barley,Peaty,Rabi,5.5,7.3,86,41,42,340,1164,16,29,Flood,3.15,12226.0,38496.0,109035.0,0.17,0.76
Barley,Peaty,Summer,5.3,6.9,42,79,135,447,1340,18,30,Rainfed,2.64,12226.0,38496.0,89402.0,0.27,0.81
Barley,Peaty,All,5.6,7.1,104,78,128,454,857,16,33,Rainfed,2.42,12226.0,38496.0,80933.0,0.39,0.8
Sorghum,Sandy,Kharif,5.7,6.9,52,83,126,762,1255,22,35,Sprinkler,5.74,34405.0,26171.0,115817.0,0.2,0.69
Sorghum,Sandy,Rabi,5.8,7.7,75,32,135,621,1482,10,24,Flood,5.26,34405.0,26171.0,103255.0,0.28,0.65
Sorghum,Sandy,Summer,5.9,7.0,146,42,45,367,1119,15,33,Sprinkler,7.32,34405.0,26171.0,157168.0,0.23,0.89
Sorghum,Sandy,All,5.5,7.7,126,34,79,793,1070,12,25,Flood,7.67,34405.0,26171.0,166328.0,0.5,0.73
Sorghum,Loamy,Kharif,5.8,6.5,177,35,78,488,1376,21,35,Flood,7.3,34405.0,26171.0,156644.0,0.57,0.64
Sorghum,Loamy,Rabi,5.2,6.5,123,48,102,332,1182,17,31,Flood,5.47,34405.0,26171.0,108751.0,0.12,0.61
Sorghum,Loamy,Summer,6.0,6.7,100,88,37,498,1162,15,33,Flood,6.69,34405.0,26171.0,140680.0,0.46,0.91
Sorghum,Loamy,All,5.7,7.8,144,55,24,653,1232,13,30,Flood,7.63,34405.0,26171.0,165281.0,0.53,0.63
