crop,soil_type,season,irrigation_type,ph_min,ph_max,n_required,p_required,k_required,yield_ton_per_acre,cost_rs_per_acre,price_rs_per_ton,climate_score,risk_score,fertilizer_cost_per_kg_n,fertilizer_cost_per_kg_p,fertilizer_cost_per_kg_k
Soybean,Sandy,Zaid,Canal,5.5,6.5,53,80,48,2.14,27695,39670,93,35,7.39,21.8,16.44
Sugarcane,Black,Kharif,Drip,6.2,6.5,258,122,108,32.39,92863,3936,83,55,7.85,20.35,24.64
Capsicum,Clay,Kharif,Rainfed,6.5,6.7,215,82,88,20.01,91204,36978,67,24,5.77,28.1,19.82
Rice,Loamy,Kharif,Sprinkler,6.1,7.4,106,57,48,2.66,35735,23549,60,56,8.65,31.41,15.93
Groundnut,Sandy,Kharif,Drip,5.8,7.3,41,73,91,2.91,39210,43980,72,30,6.2,24.31,22.98
Maize,Black,Zaid,Canal,5.8,7.2,127,57,63,4.54,39391,21430,86,46,6.52,29.84,24.45
Maize,Loamy,Kharif,Drip,6.2,6.8,128,69,44,4.77,35273,16343,63,31,7.16,23.1,24.49
Potato,Sandy,Kharif,Canal,6.2,6.6,184,107,112,20.52,62908,17041,63,59,5.4,22.13,22.23
Capsicum,Clay,Kharif,Sprinkler,5.7,7.3,213,138,100,21.33,97357,27210,95,39,8.32,25.14,15.87
Potato,Clay,Zaid,Rainfed,6.0,6.7,225,84,84,26.31,67548,13950,68,41,5.42,22.02,16.81
Capsicum,Clay,Rabi,Rainfed,5.8,7.7,163,98,101,17.3,97838,23981,80,36,7.18,29.97,23.57
Maize,Loamy,Kharif,Drip,5.9,7.6,139,65,71,5.66,47044,21028,66,42,8.66,33.46,20.33
Cotton,Black,Rabi,Sprinkler,6.0,7.0,197,74,60,2.72,69038,64833,80,52,5.87,30.34,27.14
Capsicum,Red,Kharif,Drip,6.2,6.6,188,111,139,17.39,77457,44788,63,35,6.11,32.07,21.45
Tomato,Black,Zaid,Sprinkler,5.9,6.9,166,80,100,19.51,60905,9973,73,54,5.74,28.06,25.99
Rice,Black,Rabi,Sprinkler,6.0,7.1,113,66,70,3.96,46431,22122,93,40,6.88,26.32,26.22
Potato,Black,Kharif,Sprinkler,5.8,7.4,237,105,120,18.97,72652,18907,73,32,7.25,26.48,16.73
Maize,Red,Zaid,Drip,5.9,7.3,134,54,47,4.49,47807,20881,67,34,5.19,30.28,23.5
Cotton,Loamy,Kharif,Rainfed,5.7,6.7,142,90,76,3.77,59303,74230,93,22,8.66,33.24,21.72
Tomato,Red,Kharif,Drip,6.2,6.8,178,85,94,24.34,72415,12344,93,26,5.05,24.75,27.29
Maize,Sandy,Zaid,Sprinkler,6.3,6.9,165,85,64,5.26,46537,20678,85,39,5.81,29.83,20.72
Tomato,Sandy,Zaid,Sprinkler,5.8,6.6,228,90,120,29.13,80003,15488,82,53,7.75,22.88,25.66
Potato,Loamy,Zaid,Rainfed,5.8,6.6,189,130,91,26.11,57047,12043,63,51,5.67,21.19,19.83
Soybean,Loamy,Kharif,Sprinkler,6.4,7.4,52,88,54,1.66,29713,53410,82,55,6.92,34.95,15.41
Wheat,Sandy,Zaid,Canal,5.9,7.6,138,64,49,3.37,45518,18019,82,37,7.17,27.95,22.39
Groundnut,Loamy,Rabi,Rainfed,5.9,7.2,79,67,66,2.96,48213,53284,74,59,6.94,30.82,25.11
Rice,Sandy,Zaid,Sprinkler,6.2,7.6,114,56,53,3.13,46775,22210,83,39,6.0,23.37,17.93
Wheat,Clay,Kharif,Canal,6.4,7.5,112,63,69,4.29,35668,25235,86,38,6.11,29.18,18.8
Tomato,Black,Zaid,Drip,5.8,7.4,230,76,80,20.7,84370,10680,92,31,6.91,23.9,27.38
Rice,Sandy,Kharif,Canal,6.4,7.3,132,70,41,4.0,56931,23585,76,35,5.2,21.02,23.03
Cotton,Sandy,Rabi,Rainfed,5.7,7.4,141,68,65,2.52,45420,51096,87,22,8.92,23.83,27.85
Rice,Black,Kharif,Canal,6.5,7.6,109,55,57,5.48,37148,17096,73,35,5.9,30.95,15.04
Rice,Sandy,Kharif,Canal,6.4,6.9,116,57,63,5.04,59277,20136,83,41,7.37,33.79,28.63
Capsicum,Sandy,Kharif,Canal,5.5,6.7,230,115,140,24.97,116924,45015,81,26,7.41,28.15,20.02
Soybean,Red,Rabi,Sprinkler,5.9,7.8,60,99,68,2.89,42537,37799,63,20,5.26,32.46,27.56
Rice,Black,Rabi,Sprinkler,6.4,7.2,136,62,43,4.56,57197,19401,80,53,7.53,30.55,17.3
Potato,Black,Kharif,Canal,5.5,7.4,207,119,137,17.75,67126,17632,85,55,5.21,32.71,28.9
Potato,Loamy,Kharif,Drip,6.5,7.2,237,84,113,14.51,46700,13540,71,60,6.38,33.75,29.48
Sugarcane,Black,Kharif,Drip,5.9,7.6,266,85,111,58.75,89960,4161,71,21,8.87,21.7,17.01
Capsicum,Clay,Zaid,Drip,5.6,7.1,185,122,89,19.46,88463,30786,83,54,6.0,34.64,24.88
Capsicum,Clay,Kharif,Rainfed,6.4,7.7,196,93,132,22.33,100322,34610,80,26,8.11,32.33,21.17
Groundnut,Black,Kharif,Canal,5.8,7.5,78,64,77,1.81,42793,41718,91,30,5.14,33.61,19.79
Maize,Clay,Rabi,Sprinkler,6.4,7.5,170,84,64,6.21,31163,17110,95,48,6.65,30.76,20.71
Groundnut,Red,Zaid,Rainfed,6.4,7.3,78,82,100,2.77,48632,54269,66,33,8.98,23.31,18.32
Groundnut,Clay,Zaid,Canal,5.9,7.2,43,87,98,1.4,35818,47563,68,47,5.28,20.03,21.62
Wheat,Sandy,Rabi,Canal,6.0,6.6,121,43,42,2.18,30396,20941,83,27,5.61,30.71,29.21
